subject,topic,difficulty,question_text,image_url,mark_scheme
Mathematics,Numbers,Hard,Write the recurring decimal 0.4545... (where 45 repeats forever) as a fraction in its simplest form.,,"5/11. Let x = 0.4545... Then 100x = 45.4545... Subtract: 99x = 45, so x = 45/99 = 5/11."
Mathematics,Numbers,Hard,Evaluate 8^(2/3) x 16^(-1/4) without a calculator.,,2. 8^(2/3) = (cube root of 8)^2 = 2^2 = 4. 16^(-1/4) = 1 / (fourth root of 16) = 1/2. So 4 x 1/2 = 2.
Mathematics,Numbers,Hard,Two numbers have a sum of 20 and a product of 96. Find the two numbers.,,"8 and 12. Let the numbers be x and 20-x, so x(20-x) = 96, which gives x^2 - 20x + 96 = 0. Factorise: (x-8)(x-12) = 0."
Mathematics,Numbers,Hard,Find the smallest positive integer n such that 72n is a perfect cube.,,"n = 3. 72 = 2^3 x 3^2. A perfect cube needs every prime power to be a multiple of 3, so one more factor of 3 is needed. 72 x 3 = 216 = 6^3."
Mathematics,Numbers,Hard,How many positive factors does 360 have?,,24. 360 = 2^3 x 3^2 x 5. Add 1 to each index and multiply: (3+1)(2+1)(1+1) = 4 x 3 x 2 = 24.
Mathematics,Numbers,Hard,"Without using a calculator, decide which is larger: sqrt(2) or 3/2. The number line shows both values marked between 1 and 2.",https://res.cloudinary.com/u6maukag/image/upload/v1790260595/ChatGPT_Image_Sep_24_2026_08_06_22_PM.png,"3/2 is larger. Square both numbers: (sqrt(2))^2 = 2 and (3/2)^2 = 9/4 = 2.25. Since 2.25 > 2 and both numbers are positive, 3/2 > sqrt(2)."
Mathematics,Numbers,Hard,Expand and simplify (3 + sqrt(5))(3 - sqrt(5)).,,4. Use the difference of two squares: 3^2 - (sqrt(5))^2 = 9 - 5 = 4.
Mathematics,Numbers,Hard,Find the HCF and LCM of 84 and 90.,,"HCF = 6, LCM = 1260. 84 = 2^2 x 3 x 7 and 90 = 2 x 3^2 x 5. HCF uses the lowest powers of the shared primes: 2 x 3 = 6. LCM uses the highest powers of all primes: 2^2 x 3^2 x 5 x 7 = 1260."
Mathematics,Numbers,Mixed,What is 1000 - 467?,,"533. Subtract column by column with borrowing, or count up from 467 to 500 (33) and then to 1000 (500): 33 + 500 = 533."
Mathematics,Numbers,Mixed,"Put these numbers in order from smallest to largest: 0.5, 1/3, 3/8, 0.45.",,"1/3, 3/8, 0.45, 0.5. As decimals: 1/3 = 0.333..., 3/8 = 0.375, 0.45 and 0.5."
Mathematics,Numbers,Mixed,"What is the smallest positive number that leaves a remainder of 3 when divided by 4, by 5 and by 6?",,"63. The LCM of 4, 5 and 6 is 60. A number that is 3 more than a multiple of all three is 60 + 3 = 63."
Mathematics,Numbers,Mixed,There are 10 apples in a row and 4 of them are crossed out. What fraction of the apples are NOT crossed out? Give your answer in its simplest form.,https://res.cloudinary.com/u6maukag/image/upload/v1790260692/ChatGPT_Image_Sep_24_2026_08_07_59_PM.png,"3/5. 6 apples remain out of 10, so the fraction is 6/10 = 3/5."
Mathematics,Numbers,Mixed,Simplify the fraction 18/48.,,3/8. The HCF of 18 and 48 is 6. Dividing top and bottom by 6 gives 3/8.
Mathematics,Numbers,Mixed,Prove that the sum of any three consecutive integers is always divisible by 3.,,"Let the integers be n, n+1 and n+2. Their sum is 3n + 3 = 3(n + 1), which is 3 times an integer, so it is always divisible by 3."
Mathematics,Numbers,Mixed,What is the square of 9?,,81. Squaring a number means multiplying it by itself: 9 x 9 = 81.
Mathematics,Numbers,Mixed,How many integers lie strictly between the two marked points on the number line?,https://res.cloudinary.com/u6maukag/image/upload/v1790260834/ChatGPT_Image_Sep_24_2026_08_10_20_PM.png,"4. The integers strictly between -3 and 2 are -2, -1, 0 and 1."
Mathematics,Numbers,Mixed,Calculate (2.4 x 10^5) x (3 x 10^-2). Give your answer in standard form.,,7.2 x 10^3. Multiply the numbers: 2.4 x 3 = 7.2. Add the powers of 10: 5 + (-2) = 3.
Mathematics,Numbers,Mixed,Convert 5/8 to a percentage.,,"62.5%. 5 / 8 = 0.625, and multiplying by 100 gives 62.5%."
